,Hotel_Address,Average_Score,Hotel_Name,Negative_Review,Positive_Review,Reviewer_Score,Tags,lat,lng,Review_Date
250064,8 Rue Cambon 1st arr 75001 Paris France,8.4,Melia Paris Vendome, The only problem I had was that I had to cut my trip shorter and was not able to work anything out for the days I didn t stay in the hotel This was my fault in having to change things but my work is this way often so it is helpful to be able to work something out with the hotels I stay in , My room was light and sizable the staff very courteous ,10.0,"[' Business trip ', ' Solo traveler ', ' Deluxe Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",48.866822799999994,2.3257729,2017-06-27
250115,8 rue Chambiges 8th arr 75008 Paris France,8.9,Chambiges Elys es, Not initially allocated rooms next to the children s room in fact all the way across the hall so we had to split up Was sorted the next day but needed to push for it ,No Positive,8.3,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 2 nights ']",48.8668048,2.3039465,2017-07-13
250308,8 rue d Anjou 8th arr 75008 Paris France,8.6,MARQUIS Faubourg St Honor Relais Ch teaux, They have 2 members of staff working as management as waiters as bell boys as everything in a 5star hotel that has no food no spa facilities no customer care and their prices are more expensive then FOUR Seasons I only stayed there because everyone else was fully booked in Paris at night I was unable To get back into the hotel as the night staff one person was somewhere sleeping and not able to hear us ringing the bell thank god we had batteries on our UK numbers to call and inform the staff memeber we are outside trying to get inside We asked for a later check out with the night staff and he was very rude And not willing to help telling us nothing to do with him we have to speak To the day staff at 12pm they called us from The reception asking us to leave and I explained that we need additional 2 hours to pack and order food and then check out and we were ready to pay for Those two Hours but also explained that in less then 24 hours they have treated us as they are the guests and us working for them and not giving a moment to relax and enjoy the room that we paid 1470 for for one night we were finally given a later check Out 2pm and we came Down at 230pm and we re present with a 735 bill for late checkout imagine the shock Until I argued how these people are simply robbing people Blind one of the staff members said he would Void that transaction and we left Two days later I find out that the hotel took 730 out of My account without my knowledge I called them and they said they don t know and their manager will call and speak to me no body ever called me I called My bank and booking com and the same thing they told me regarding a manager calling back no one has called them back either I regret not getting the police involved when I was there as this would have never happened this hotel is run by Crooks and unprofessional staff please be careful what you are , Nothing positive,3.8,"[' Leisure trip ', ' Family with young children ', ' Master Suite ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.8698184,2.3208729,2017-02-17
250321,8 Rue De Bellechasse 7th arr 75007 Paris France,8.7,H tel Le Bellechasse Saint Germain,No Negative, Fantasticly positioned for the heart of Paris Quirky friendly and so very helpful Nothing was too much trouble Even order for flowers not too much trouble Noemie was a star Would come back time and time again ,10.0,"[' Leisure trip ', ' Group ', ' Discovery Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.859702399999996,2.3239701,2017-03-08
250392,8 rue de Verneuil 7th arr 75007 Paris France,8.7,Hotel Verneuil Saint Germain, BookedTwin bedded room there was no room to separate beds appears to be a single room with extra bed View was the lift shaft Bar was non existent just a cupboard Breakfast was offered as a choice to have in room but no space to eat e g One chair no table No central lights so very dark and gloomy Very overpriced Tip stay on the other side of the seine as more is going on and wherever you are you can see the Eiffel Tower , Clenliness,5.0,"[' Leisure trip ', ' Group ', ' Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8573706,2.3314668999999997,2017-06-15
250467,8 rue Fr d ric Bastiat 8th arr 75008 Paris France,8.8,Hotel Daniel Paris, No gym they offer access to a gym close by We just went for a run to the Eiffel Tower and back instead , Very friendly and helpful reception staff who went out of their way to help us with restaurant suggestions make the restaurant bookings and organise our Palace of Versailles entry tickets Nothing seemed to be too much trouble for them Central but quiet location Extremely tasteful decor Very comfortable bed ,9.6,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.872849200000005,2.3073662999999995,2016-10-05
250479,8 Rue Francois 1Er 8th arr 75008 Paris France,8.4,Residence Du Roy, Staff wasn t friendly at all Rude and unhelpful in general Not very clean Making the room was closing the beds and putting in new towels they didn t even clean the sink or bathtub , Location was pretty good but I ve had better ,3.8,"[' Leisure trip ', ' Family with young children ', ' One Bedroom Suite ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.865768700000004,2.3090386,2017-07-29
250701,8 Rue Jean Goujon 8th arr 75008 Paris France,8.8,La Maison Champs Elys es, Nothing is bad except I lost my ring at my room and the room service couldn t find it , The hotel location is great the breakfast is delicious I like the hotel reception the room TV has a package of downloaded movies with multi subtitles ,8.8,"[' Leisure trip ', ' Family with young children ', ' Superior Double Room ', ' Stayed 5 nights ']",48.866676,2.3089908,2017-07-29
250780,8 rue Laferriere 9th arr 75009 Paris France,8.7,H tel Arvor Saint Georges,No Negative, The beds are incredibly comfortable the shower pressure is EXCELLENT and the staff are genuinely amiable and speak excellent English but are also always willing to indulge you if like me you wanted to practice your modest French ,9.6,"[' Leisure trip ', ' Group ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8785454,2.3384866,2017-01-07
250886,80 86 Belgrave Road Westminster Borough London SW1V 2BJ United Kingdom,8.6,The Belgrave Hotel, If I had to improve something it would be that hot breakfast should be included in the breakfast price and not cost extra We did not opt in for breakfast for this reason , Best hotel I ve stayed in in the UK I particularly loved the staff their willingness to help you even at silly o clock in the morning ,10.0,"[' Leisure trip ', ' Couple ', ' Luxury Double Room ', ' Stayed 2 nights ']",51.4901051,-0.1381355,2017-03-08
251843,81 103 Euston Street Camden London NW1 2EZ United Kingdom,8.0,TheWesley, The only minor fault we found was the safe in the room which was in the bottom of the wardrobe which meant you had to almost stand on your head to use it , We liked everything about the Wesley Hotel from the location to the very comfortable bed The bedding was obviously of a high standard The breakfast was very good with plenty of choice ,10.0,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 3 nights ']",51.52653529999999,-0.1361682,2017-03-08
252960,81 boulevard Gouvion Saint Cyr 17th arr 75017 Paris France,8.0,Le M ridien Etoile, The door key that turns on the electricity is annoying but I understand that wasteful use is expensive , Loved the Jazz Club Great entertainment Went with my grandson and he really enjoyed the location the food the room was very comfortable The breakfast was wonderful This was my second visit to this hotel and I will return again at my next opportunity The restaurants near the hotel were as good as I remembered from my last visit The hotel was very helpful in making sure that we got the twin beds that I was concerned about I called Booking com practically every day before this trip and was told that I could only find out when I checked in whether I could have a twin room or not This aggravation was unacceptable In future I will use a travel agent ,10.0,"[' Leisure trip ', ' Group ', ' Urban Double or Twin Room ', ' Stayed 7 nights ', ' Submitted from a mobile device ']",48.8794646,2.2849548,2017-07-31
253051,81 Great Eastern Street Islington London EC2A 3HU United Kingdom,9.0,The Hoxton Shoreditch, Came back at 5 and told room had been overlooked and not serviced After long day on our feet expected clean room to come back to Perhaps if rooms could be serviced by 2pm that would be great , Loved everything Although very busy a safe environment Helpful pleasant staff Great vibe Cafe staff in am very helpful ,9.2,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",51.5255136,-0.082927,2017-03-08
253730,81 Jermyn Street Westminster Borough London SW1Y 6JF United Kingdom,8.8,The Cavendish London, Breakfast should be included within the rate paid as it was expensive just for a room for 3 nights , Fantastic location in really easy reach of every landmark ,9.2,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",51.507745899999996,-0.1378733,2017-02-08
254146,82 Dalston Lane Hackney London E8 3AH United Kingdom,8.1,Avo Hotel, The main toilets downstairs were not nice bed was not as big as expected but was nice, I would like to say that the guy called lee was so helpful really nice person made me and my boyfriend feel so comfortable staying there,9.6,"[' Leisure trip ', ' Couple ', ' Budget Double Room Second Floor ', ' Stayed 1 night ', ' Submitted from a mobile device ']",51.546062799999994,-0.0700817,2017-12-07
254312,82 Gloucester Place Westminster Borough London W1U 6HN United Kingdom,7.5,Hotel 82 London, No kettle we had cups biscuits so a little strange No plug for the bath, very good location Staff very friendly very stylish it feels as though they have tried very hard ,9.6,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 2 nights ']",51.5195857,-0.1584803,2015-07-11
255024,83 avenue Kl ber 16th arr 75016 Paris France,9.0,La Clef Tour Eiffel, The room had a washing machine but the hotel wasn t able to provide a rack to dry clothes we either needed to use a tumble dryer not suitable for all clothes or try to find room to hang up clothes around the room Staff were not the most friendly typically Parisian but were able to get things done when requested , Rooms in very good condition and a nice size for Paris especially good for families with small children Convenient to have a washing machine in the room and the sofa bed was surprisingly comfortable Also useful to have a kitchen to prepare breakfast and basic meals had a few microwave meals from restaurant Monoprix supermarket convenience store down the street Good location in a nice area minutes away from the Eiffel Tower It was convenient to have access to a computer and printer for guests in order to print pre boked museum tickets boarding passes etc ,9.2,"[' Leisure trip ', ' Family with young children ', ' Deluxe One Bedroom Apartment ', ' Stayed 6 nights ']",48.8647019,2.2886425,2017-07-31
255339,84 King Street Hammersmith and Fulham London W6 0QW United Kingdom,7.8,Best Western Plus Seraphine Hammersmith Hotel, The Wifi was none existent in the room and I was 3 doors away from reception I could actually pick up the network from the KFC next door but not the hotel I was in, The location was the main thing Then there was all the amenities around i e shops pubs and restaurants I wanted somewhere close to Hammersmith Apollo,7.9,"[' Leisure trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 2 nights ']",51.4926269,-0.2288598,2017-03-08
256082,85 87 RUE DES ARCHIVES 3rd arr 75003 Paris France,9.4,La Chambre du Marais, Small rooms dark and restricted communal space not suitable for breakfast dining Junior suite was small with no seating area to take in room dining Attic room with tiny window , Exceptional cleanliness,7.9,"[' Leisure trip ', ' Couple ', ' Junior Suite with Bath ', ' Stayed 2 nights ']",48.863616799999996,2.3607998,2017-07-31
256170,85 Rue De Bercy 12th arr 75012 Paris France,8.3,Novotel Paris Centre Bercy,No Negative, The helpfulness of staff with any questions We did not have many but witnessed many English travellers with language difficulties and the staff were very helpful to them,9.6,"[' Leisure trip ', ' Family with young children ', ' 2 Adjacent Non Communicating Rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.8384558,2.3805885,2017-07-29
256341,86 88 Clerkenwell Road Islington London EC1M 5RJ United Kingdom,8.9,The Zetter Hotel, The room was really hot the aircon turned off every 5 minutes and had a set minimum of 19 degrees which it definitely wasn t reaching We spoke to the staff but they weren t able to get it to stay on Luckily it wasn t too hot outside so we could open the window , Funky hotel in a great location walking distance from Farringdon close to St Paul s and Shoreditch Free tea and coffee machine on every floor Modern interior comfy beds nice and light with big windows ,9.2,"[' Leisure trip ', ' Couple ', ' 2 rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",51.522672,-0.10368410000000002,2017-03-08
256518,86 Park Lane Westminster Borough London W1K 7TN United Kingdom,8.7,Grosvenor House Suites by Jumeirah Living,No Negative, Excellent service,10.0,"[' Leisure trip ', ' Couple ', ' One Bedroom Park Suite ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",51.509840999999994,-0.1552193,2017-01-23
256618,86 Quai D Austerlitz 13th arr 75013 Paris France,8.4,Hotel OFF Paris Seine, Unfortunately i myself am not very good at walking and it is too far from everything if you are slightly challenged So taxis are a must as nothing was in walking distance for me The hotel was extremely overpriced charging top rate hotel prices for their drinks etc I dont mind paying for quality quantity but sadly this was not the case here The sinks in our room did not hold water as the plugs didnt work We reported this someone came and had a look but nothing was done about it and it was extremely frustrating immediately opposite from us across the water was a 24hour nightclub and boy oh boy did you need the ear plugs that they supplied in the room Not only the music thuding but the language from some of the unsavoury characters This Hotel is suited to people on a business trip and only having to stay a night It is for the young and trendy and those who want to stay up all hours , The room we had had a lovely view over the water which was very busy and lots to watch The decor of the room although not to everyones taste bright oange fixtures walls ceiling soft furnishing bath sinks all BRIGHT orange we likeed it ,4.6,"[' Leisure trip ', ' Couple ', ' Room with Dock View Main Deck ', ' Stayed 3 nights ']",48.8427364,2.3672171000000004,2017-07-28
256697,86 Rue Saint Denis 1st arr 75001 Paris France,9.0,Snob Hotel by Elegancia,No Negative, The hotel was in a wonderful location and was well done with its boutique theme and decor The staff was super nice and attentive through the whole stay Beds comfortable quiet rooms and a smart phone included to use while in Paris ,9.6,"[' Leisure trip ', ' Couple ', ' Superior Double Room with Courtyard View ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.8622723,2.3495707,2017-07-28
256757,88 Bis Avenue Kl ber 16th arr 75016 Paris France,8.3,Sofitel Paris Baltimore Tour Eiffel, Asked for a club sandwich at 23 15 at 24H room service they sad its no one in the kitchen and we can not serve you this time , Hotel Rooms and Personal,9.2,"[' Business trip ', ' Solo traveler ', ' Deluxe King Suite ', ' Stayed 3 nights ']",48.8663089,2.289609,2017-06-07
256880,88 Holland Road Kensington and Chelsea London W14 8BN United Kingdom,8.4,88 Studios, Maybe more selection of tea coffee hot chocolate and biscuits xx, It was a very nice apartment and the customer service was even better I loved the free toiletries and the water etc in the fridge,10.0,"[' Leisure trip ', ' Family with young children ', ' Family Studio ', ' Stayed 1 night ', ' Submitted from a mobile device ']",51.4992789,-0.20907329999999996,2017-02-08
257339,88 Queens Gate Kensington and Chelsea London SW7 5AB United Kingdom,8.8,Adria Boutique Hotel, We stayed here a year ago and were very happy with this hotel We were disappointed this time round The service was not quite so good and both kettles provided to us in the room were broken We were assigned one of the disabled rooms where the bathroom facilities were at too low a height to use comfortably , Location very good and room clean and generally comfortable,6.3,"[' Leisure trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",51.493337200000006,-0.1788931,2017-07-30
257570,88 rue du Faubourg Poissoni re 10th arr 75010 Paris France,8.4,Best Western Premier Faubourg 88,No Negative, I booked a room for two people w the thought a teenager will sleep on the floor Room was to small for that so the staff moved people around and found an extra room for me 2 nights to be exact thanks for accommodating us ,9.6,"[' Leisure trip ', ' Family with young children ', ' Superior Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.877675599999996,2.3493159,2017-07-26
257749,9 11 rue Balzac 8th arr 75008 Paris France,7.5,Hotel De Vigny, My suite was stunning once upon a time The furniture was showing its age with nicks scrapes frayed upholstery and scratches A table was on a tilt due to a cracked leg The jacuzzi i could not get to work It was truly old world lux style but it had seen better days An update would be nice but I was still quite comfortable due to the first rate amenities My biggest dislike was the dirty stained carpet It really needed a good deep cleaning , The staff was exceedingly friendly and helpful I was upgraded which was unexpected The view of the roof tops was so typically French Loved it ,9.0,"[' Leisure trip ', ' Group ', ' Executive Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.8738672,2.3005894000000002,2017-05-07
257812,9 11 Sydney Street Kensington and Chelsea London SW3 6PU United Kingdom,8.7,Sydney House Chelsea, The standard rooms are too small to be really comfortable however I do understand that this is London and space Some staff were fabulous but I do feel they were let down by colleagues who couldn t muster a smile which makes it hard for me to give it an outstanding rating on that front , What sells this property is the location Location wise this property is top notch Property looks great outside and everything s clean inside ,7.1,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ']",51.4910062,-0.1717691,2017-07-30
258070,9 13 Bloomsbury Street Nr Covent Garden Camden London WC1B 3QD United Kingdom,8.6,Radisson Blu Edwardian Bloomsbury Street, The hallway on our floor smelled a bit funny We couldn t tell if it was because the carpets had been shampooed recently and still were a bit wet of if someone peed somewhere ,No Positive,7.1,"[' Business trip ', ' Couple ', ' Standard Double Room ', ' Stayed 4 nights ']",51.517608,-0.1276253,2017-03-08
258956,9 Carrefour de l Od on 6th arr 75006 Paris France,9.3,H tel Le Relais Saint Germain,No Negative, The room was beautiful country french chic The staff were excellent very helpful Loved the room the staff and the location I will definitely return ,10.0,"[' Leisure trip ', ' Group ', ' Twin Room ', ' Stayed 4 nights ']",48.851920799999995,2.338878,2017-07-21
258996,9 Knaresborough Place Kensington and Chelsea London SW5 0TP United Kingdom,9.0,Hotel Moonlight,No Negative, the hotel was super comfortable Clean New Fresh cozy Very frienly staff We thoroughly enjoyed a super quiet room even being in the ground florr room They also accomodated our request to stay for a super late check out at additional rate which is fair but they were fully booked and still found a solution it really helped a lot ,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ']",51.4940285,-0.19104970000000002,2017-03-08
259281,9 Place Boulnois 17th arr 75017 Paris France,7.3,Villa Alessandra, The staff werent helpfull except one There wasnt ant security The staff didnt know the job They always give us the wrong room keys We hope that they didnt gave our rooms key to someone else One night the electricity of the otel gone and the staff didnt know what to do One person left in the elevator and the firemen saved him We have to made an really argument with one off the staff The wireless didnt worked for 2 days the staff just tell me that if I want I can leave whenever we want and if I want I can use the wireless in the lobby But as they promise there wasnt any wireless at the rooms for 2 days , The location is perfect So close to Champs Elysees The furnitures are slightly outdated but so clean ve smells fine Only one receptionist The girl staying in the mornings was helpfull kind and well donated ,6.3,"[' Leisure trip ', ' Solo traveler ', ' Triple Room ', ' Stayed 5 nights ']",48.8794223,2.2957628,2017-04-02
259307,9 Rue de Constantinople 8th arr 75008 Paris France,7.7,Ibis Styles Paris Gare Saint Lazare, I don t usually report bad hotel experiences but this I feel I need to Please note I m French speaking and a local corporate traveler coming to Paris for recurrent business I post in English to the benefit of the many tourists often non Europeans who deserve to experience this amazing city in the best possible conditions I stayed four nights with my partner in this hotel this end July I chose it because it was a recommended Booking offer a website I use most of the time for my hotel bookings anywhere The Ibis Styles was identified as a four star hotel The price was indeed a bargain breakfast included As corporate traveler thus I took the opportunity to test the Ibis standard considering the convenience of a chain instead of independent hotels to favor better locations according to work duties The facts 1 The room the bed in particular was smaller than presented in the ad Well I certainly have misread it happens a lot My mistake It is not very comfortable though for an expected four star standard 2 The amenities and facilities were incredibly poor No coffee machine to have a coffee you need to go downstairs and bring up a carton cup no toiletries cheap towels no wardrobe of course no pool no fitness no restaurant isn t it a must in a four star Anyway we can survive 3 The telephone in the room didn t work and was not even explained Too bad 4 The wifi was very poor I complained and received the classical Parisian answer we are currently changing provider it s temporary I heard it at least in ten hotels Don t believe it I work in an office which deals with heavy up and down load the provider has been changed in a couple of days and is far sufficient for fifty of people at once Be sure to bring your 4G data sharing phone with you Although I need to say 4G is also poor in this area thus try to avoid watching movies or series 5 We were on the fourth floor and the elevator suddenly broke down , The price offer the location,4.6,"[' Business trip ', ' Couple ', ' Standard Double Room 2 Adults ', ' Stayed 4 nights ']",48.879659600000004,2.3209155,2017-07-30
259321,9 rue de la Michodi re 2nd arr 75002 Paris France,8.6,Golden Tulip Opera de Noailles, Air con wasn t working properly to cool the room it was stuffy Bed was hard and had a plastic mattress protector that makes you sweat , Handy location to major sights and metro Quiet street Very friendly and helpful staff,7.1,"[' Leisure trip ', ' Couple ', ' Deluxe Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.869617299999994,2.3346428,2017-01-08
259475,9 Rue De Li ge 9th arr 75009 Paris France,8.7,Best Western Premier Op ra Li ge, room s too small first time there was great with a lot bigger room this was the second time and the room was rather small quite disappointing, good location good bed good room condition,7.1,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 4 nights ']",48.879594700000006,2.3280695,2017-07-30
259604,9 Rue de Washington 8th arr 75008 Paris France,8.3,H tel Cristal Champs Elys es, Another friend booked the venue for me and the hotel needed her credit card for payment It was solved next day after further confirmation from my friend to the hotel , The front desk was very helpful though a bit confused with the payment process ,8.8,"[' Leisure trip ', ' Group ', ' Privilege Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.872681400000005,2.3020866,2017-07-24
259731,9 Rue du Sommerard 5th arr 75005 Paris France,8.5,Best Western Le Jardin de Cluny, The locker was broken I asked twice to be fixed and it was not This was rated as a 4 star hotel but the room had no amenities and no frigo bar The room was too small and was smelling badly, The local was excellent,5.0,"[' Leisure trip ', ' Group ', ' Classic Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8497553,2.3467616000000002,2017-03-07
259851,9 rue frochot 9th arr 75009 Paris France,9.0,Le Pigalle Hotel, No real bad stuff if you are a family you are better off finding a hotel in Paris with much larger rooms If you are a couple who is looking for a hotel near Pigalle and know what Pigalle stands for no pun intended and don t mind having a tiny room then this place will do nicely , Stayed overnight and were impressed with this small reasonably priced hotel In no particular order we appreciated 1 Friendly helpful staff 2 Attractive location with lots of cafes restaurants and Pigalle neighbourhood and Montmarte not far away 3 Metro Pigalle around the corner 1 min walk away 4 Good easy to use WiFi ,9.6,"[' Leisure trip ', ' Couple ', ' Bunk Bed in Twin Room Pigalle 12 ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.8816073,2.3371647999999996,2017-07-19
259893,9 rue Git le Coeur 6th arr 75006 Paris France,8.9,Relais H tel du Vieux Paris, The hotel is in a bustling neighborhood with many shops and restaurants Although this is one of the quietest streets you will occasionally hear happy and loud tourists yelling on the street , Completely charming romantic hotel with history Comfortable lobby stone walls wood beams excellent continental breakfast very friendly and helpful staff I suggest going at least one level up in room from the standard Worth the extra money My room had an ultra high ceiling with wooden beams so spacious feeling for the size I have also stayed in the larger executive rooms and they are amazing My chamber had a beautiful tall window where I could peer out on the street with black out drapes if you need a nap AC that regulated the room well to a good temperature and beautiful decoration with a nice marble bathroom The hotel is situated in one of the liveliest neighborhoods in Paris directly off the RER B from CDG I highly recommend this hotel I have stayed multiple times and plan to return many more Try a walk along the Seine from Notre Dame to the Eiffel Tower In the past few years barges and beer garden style outdoor restaurants have multiplied along this route Greats runs are possible along the Seine If you wake in the middle of the night the nearby piano bar Aux Trois Maillettes is open until 5 am and the even closer cafe Le Depart St Michel a few tables have a Notre Dame view is open 24 hours The hop on hop off Seine tour boat Batobus has a stop nearby you are feet from the metro and RER right next to Notre Dame the Louvre and Luxembourg Gardens and between the Latin Quarter and St Germaine Location location location ,10.0,"[' Leisure trip ', ' Group ', ' Superior Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.85386079999999,2.3429487,2017-07-13
260049,9 rue Gr goire de Tours 6th arr 75006 Paris France,9.3,Victoire Germain, I liked everything about this hotel , The location was perfect right off of Rue Saint Germain nestled a small street with outdoor cafes shops and services We walked about 150 meters from the train station Had breakfast there and it was delicious for the 14 00 sur charge we had fresh cooked eggs and bacon fresh brewed coffee juices fresh baked pastries cheese and meats The next day we went down the street to a cafe for the more Parisian relaxed breakfast We walked to all of the main tourist attractions except to the eiffel tower ,10.0,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 3 nights ']",48.853299,2.337993,2017-07-26
260102,9 Rue Littr 6th arr 75006 Paris France,8.6,Le Littr , My window faced out over a terraced area where there were some noisy guests The hotel staff did nothing to quiet them down One of the other rooms in our group had a malfunction hairdryer The staff replaced it but it still did not work , I booked a Standard Room and it was still one of the nicest hotel rooms I have ever stayed in It had both a Walk in Shower with a Rain Shower and a separate Bath Tub We had three rooms The others did not have the same set up but all were nice ,9.6,"[' Leisure trip ', ' Family with young children ', ' 3 rooms ', ' Stayed 5 nights ']",48.8454447,2.3242814,2017-10-07
260146,9 Rue Sainte Beuve 6th arr 75006 Paris France,8.9,Hotel Le Sainte Beuve, Scandalous situation standard room 2 5 x 2 5 m was without normal window overlooking the well only gap between the walls Standard room too small for two people No information regarding no window during registration The hotel is suitable for those who like to live in the closet or in the basement This hotel effectively discouraged me for my next visit to Paris Superior room was very good Staying at the hotel spoiled the trip to Paris Avoid registration of standard room Horrible , Very clean Very good and very polite staff Fantastic localization ,5.8,"[' Leisure trip ', ' Couple ', ' Standard Room ', ' Stayed 7 nights ']",48.843899799999996,2.3294857999999996,2017-06-20
260244,9 Villa de Saxe 7th arr 75007 Paris France,8.9,Hotel Villa Saxe Eiffel, Fairly close to four different metro stations but if you frequently come in and out it would be a bit of walk , Friendly staff clean and comfortable room and facilities quiet neighbors ,8.8,"[' Business trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.849758,2.3095213,2017-05-29
260324,90 92 Lancaster Gate Westminster Borough London W2 3NR United Kingdom,7.8,Thistle Hyde Park, Not enough tea milk in the room and being charged twice on my card for the roomis is wrong way to do things and I have to ring up from another country for you to put it right If this is about a security payment down until you check the room then do it as people leave for that I won t stay there again ,No Positive,7.5,"[' Leisure trip ', ' Family with young children ', ' Deluxe Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",51.511245100000004,-0.1808938,2017-07-20
260623,92 rue de Vaugirard 6th arr 75006 Paris France,8.1,Holiday Inn Paris Saint Germain des Pr s, The carpet in the room was filthy and needs to be changed Room was generally very dark , Great location close to montpanasse 25 minute walk to the Eiffel Tower Lots of local shops ,5.8,"[' Leisure trip ', ' Couple ', ' Standard Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.846837,2.3258066000000004,2017-07-28
260857,92 Rue Du Cherche Midi 6th arr 75006 Paris France,8.9,Hotel Spa La Belle Juliette, Toilet chair being isolated far from bathroom is not good Bathroom was separated from sleeping area with steel with glass wall which is like you sleep in a blacksmith workshop And the blue painted wall not comfortable I think it was over priced , Tha big bathtub in Romantic room is nice Staff are nice ,7.1,"[' Leisure trip ', ' Couple ', ' Romantic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.8474426,2.3223783,2017-07-20
260928,92 Rue La Boetie 8th arr 75008 Paris France,8.5,Rochester Champs Elysees, We booked on line and breakfast was not included in the price We felt it should have been included given the cost of the room Perhaps to warn and inform guests of the overcharging on journeys when using taxis which happened to us and was difficult to deal with , We had an excellent service from all the staff who were extremely polite friendly and helpful The hotel facilities were very good the room was very comfortable clean and bathroom and shower spotless There was a good choice of food at breakfast and staff were very helpful and accommodating The hotel had a good location within easy reach of the Champs Elysees We enjoyed our stay very much ,9.2,"[' Leisure trip ', ' Couple ', ' Classic Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8724945,2.3091549,2017-07-27
261077,92 Southampton Row Camden London WC1B 4BH United Kingdom,8.3,DoubleTree by Hilton London West End, The room that I booked turned out to be horrible and I insisted on a transfer After some haggling I agreed to pay ten British pounds more for a better room The bed in that room was awful I couldn t believe I was going to complain again but I did the alternative was to pay the one night room cost and move to a better hotel The staff graciously moved me to a better room and told me they even added a pilot option so I would be more comfortable , It was a full breakfast and good value,6.3,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",51.5201065,-0.1221393,2017-02-08
262003,93 Rue de Lille 7th arr 75007 Paris France,9.1,Hotel d Orsay Esprit de France, I was a bit confused with the lighting arrangement There was a lamp next to the door that switch on and off at random We couldn t find how to turn it off except of one that switched off all lamps in the room It wasn t a big deal though and have we stayed longer I guess we could just had asked the front desk , The room was modern ample for Paris standards and well furnished The location is superb for anyone visiting Paris for its central attractions Louvre Champ Elysees Notre Dame all within easy walking distances ,9.2,"[' Couple ', ' Club Room ', ' Stayed 1 night ']",48.8603599,2.3230777999999996,2017-07-24
262214,95 Rue de Richelieu 2nd arr 75002 Paris France,8.1,Mercure Paris Opera Louvre, The staff wasn t friendly at all no information were given the English they spoke was horrible and they haven t been helpful many times One of the biggest issues was the bathroom it was small without windows and after taking a shower the whole room was flooded because of the stupid construction All in all a well located hotel which is not worth the required prices , The hotel is very well located and very close to the Opera and the Louvre ,5.8,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.871089500000004,2.3393460999999998,2017-07-31
262308,97 avenue des Ternes 17th arr 75017 Paris France,8.6,La Villa des Ternes, I couldn t afford the rates during the conference days , The staff was extra helpful including booking an airport transfer for us They were helpful with directions to walk to Arc de Triomphe and Champs Elysee The location was near the conference venue but as I was there the three days before the conference started I could afford to stay here ,8.8,"[' Leisure trip ', ' Group ', ' Classic Double Room ', ' Stayed 1 night ']",48.8803479,2.2858242000000004,2017-07-28
